,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
120234,Judit Kiss,12.0,171.0,57.0,HUN,1992,Barcelona,Swimming,Swimming Women's 800 metres Freestyle,no medal,2,1
120235,Judit Kiss,16.0,171.0,57.0,HUN,1996,Atlanta,Swimming,Swimming Women's 400 metres Freestyle,no medal,2,2
120293,Asami Kitagawa,20.0,161.0,51.0,JPN,2008,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,no medal,1,1
120294,Asami Kitagawa,20.0,161.0,51.0,JPN,2008,Beijing,Swimming,Swimming Women's 100 metres Breaststroke,no medal,1,1
120295,Asami Kitagawa,20.0,161.0,51.0,JPN,2008,Beijing,Swimming,Swimming Women's 200 metres Individual Medley,no medal,1,1
120296,Asami Kitagawa,20.0,161.0,51.0,JPN,2008,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,no medal,1,1
120345,Takayo Kitano,16.0,153.0,47.0,JPN,1988,Seoul,Swimming,Swimming Women's 100 metres Butterfly,no medal,1,1
120346,Takayo Kitano,16.0,153.0,47.0,JPN,1988,Seoul,Swimming,Swimming Women's 200 metres Butterfly,no medal,1,1
120640,"Geertruida ""Truus"" Klapwijk",20.0,170.7595744680851,60.61899563318777,NED,1924,Paris,Swimming,Swimming Women's 400 metres Freestyle,no medal,2,1
120641,"Geertruida ""Truus"" Klapwijk",20.0,172.8904109589041,62.60313174946004,NED,1924,Paris,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,no medal,2,1
120875,Megan Adelle Kleine (-Morris),17.0,167.0,48.0,USA,1992,Barcelona,Swimming,Swimming Women's 100 metres Breaststroke,no medal,1,1
120876,Megan Adelle Kleine (-Morris),17.0,167.0,48.0,USA,1992,Barcelona,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,1,1
120993,Aikaterini Klepkou,24.0,171.87765957446808,61.76282051282051,GRE,1996,Atlanta,Swimming,Swimming Women's 100 metres Backstroke,no medal,1,1
120994,Aikaterini Klepkou,24.0,172.73096446700507,61.8765903307888,GRE,1996,Atlanta,Swimming,Swimming Women's 200 metres Backstroke,no medal,1,1
120995,Aikaterini Klepkou,24.0,172.01476377952756,61.94729064039409,GRE,1996,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,no medal,1,1
121190,Carol Klimpel,21.0,173.0,63.0,CAN,1984,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,no medal,1,1
121199,Anja Klinar,16.0,170.0,62.0,SLO,2004,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,no medal,4,1
121200,Anja Klinar,16.0,170.0,62.0,SLO,2004,Athina,Swimming,Swimming Women's 200 metres Butterfly,no medal,4,1
121201,Anja Klinar,16.0,170.0,62.0,SLO,2004,Athina,Swimming,Swimming Women's 400 metres Individual Medley,no medal,4,1
121202,Anja Klinar,20.0,170.0,62.0,SLO,2008,Beijing,Swimming,Swimming Women's 200 metres Individual Medley,no medal,4,2
121203,Anja Klinar,20.0,170.0,62.0,SLO,2008,Beijing,Swimming,Swimming Women's 400 metres Individual Medley,no medal,4,2
121204,Anja Klinar,24.0,170.0,62.0,SLO,2012,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,no medal,4,3
121205,Anja Klinar,24.0,170.0,62.0,SLO,2012,London,Swimming,Swimming Women's 200 metres Butterfly,no medal,4,3
121206,Anja Klinar,24.0,170.0,62.0,SLO,2012,London,Swimming,Swimming Women's 400 metres Individual Medley,no medal,4,3
121207,Anja Klinar,28.0,170.0,62.0,SLO,2016,Rio de Janeiro,Swimming,Swimming Women's 400 metres Freestyle,no medal,4,4
121208,Anja Klinar,28.0,170.0,62.0,SLO,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,no medal,4,4
121209,Anja Klinar,28.0,170.0,62.0,SLO,2016,Rio de Janeiro,Swimming,Swimming Women's 200 metres Butterfly,no medal,4,4
121305,Yana Oleksandrivna Klochkova,18.0,182.0,70.0,UKR,2000,Sydney,Swimming,Swimming Women's 800 metres Freestyle,Silver,2,1
121306,Yana Oleksandrivna Klochkova,18.0,182.0,70.0,UKR,2000,Sydney,Swimming,Swimming Women's 200 metres Individual Medley,Gold,2,1
121307,Yana Oleksandrivna Klochkova,18.0,182.0,70.0,UKR,2000,Sydney,Swimming,Swimming Women's 400 metres Individual Medley,Gold,2,1
121308,Yana Oleksandrivna Klochkova,22.0,182.0,70.0,UKR,2004,Athina,Swimming,Swimming Women's 200 metres Individual Medley,Gold,2,2
121309,Yana Oleksandrivna Klochkova,22.0,182.0,70.0,UKR,2004,Athina,Swimming,Swimming Women's 400 metres Individual Medley,Gold,2,2
