,Name,Age,Height,Weight,NOC,Year,City,Medal,Times_Participated,Participation_Number
229088,"Gillian ""Jill"" Sterkel",15.0,180.0,77.0,USA,1976,Montreal,no medal,3,1
229284,Natalie Alwyne Steward,17.0,174.0,70.0,GBR,1960,Roma,Bronze,1,1
229330,Helen Stewart (-Hunt),19.292025862068964,171.32436260623228,61.75478645066274,CAN,1956,Melbourne,no medal,1,1
229359,Mary Beth Pauline Stewart (-McIlwaine),14.0,154.0,44.0,CAN,1960,Roma,no medal,2,1
229361,Mary Beth Pauline Stewart (-McIlwaine),18.0,154.0,44.0,CAN,1964,Tokyo,no medal,2,2
229456,"Josefine ""Fini"" Sticker",17.0,171.32436260623228,61.75478645066274,AUT,1912,Stockholm,no medal,1,1
229466,Sarolta Stieber,22.0,171.32436260623228,61.75478645066274,HUN,1928,Amsterdam,no medal,1,1
229537,Hermine Marie Stindt,24.0,171.32436260623228,61.75478645066274,GER,1912,Stockholm,no medal,1,1
229663,Ena Phyllis Stockley (-Taylor),21.0,171.32436260623228,61.75478645066274,NZL,1928,Amsterdam,no medal,1,1
229994,Margaret Annice Stone (-Donato),17.0,171.32436260623228,61.75478645066274,CAN,1936,Berlin,no medal,1,1
230160,Sharon Marie Stouder (-Clark),15.0,173.0,61.0,USA,1964,Tokyo,Silver,1,1
230423,Kirsten Strange-Campbell,20.0,176.0,64.0,DEN,1964,Tokyo,no medal,3,1
230428,Kirsten Strange-Campbell,28.0,176.0,64.0,DEN,1972,Munich,no medal,3,3
230820,Irene Strong,19.0,171.32436260623228,61.75478645066274,CAN,1948,London,no medal,2,1
230823,Irene Strong,23.0,171.32436260623228,61.75478645066274,CAN,1952,Helsinki,no medal,2,2
230892,Maria Antonietta Rita Strumolo,19.0,163.0,59.0,ITA,1968,Mexico City,no medal,1,1
231282,Anna Stylianou,14.0,172.0,55.0,CYP,2000,Sydney,no medal,3,1
231283,Anna Stylianou,22.0,172.0,55.0,CYP,2008,Beijing,no medal,3,2
232414,Sung Yi-Chieh,18.0,164.0,57.0,TPE,2004,Athina,no medal,1,1
232646,"Dorothy ""Dottie"" Sutcliffe",13.0,155.0,58.0,ZIM,1960,Roma,no medal,1,1
233077,Elvi Johanne Svendsen (-Carlsen),16.0,171.32436260623228,61.75478645066274,DEN,1936,Berlin,no medal,2,1
233130,Ellenor Susanne Svensson (-Lindroth),21.0,177.0,61.75478645066274,SWE,1992,Barcelona,no medal,1,1
233216,Vilborg Sverrisdttir,19.0,171.32436260623228,61.75478645066274,ISL,1976,Montreal,no medal,1,1
233519,Irne Sweyd,16.0,171.32436260623228,61.75478645066274,BEL,1956,Melbourne,no medal,1,1
234316,Florencia Szigeti,19.0,170.0,56.0,ARG,2000,Sydney,no medal,2,1
234319,Florencia Szigeti,23.0,170.0,56.0,ARG,2004,Athina,no medal,2,2
234436,"Katalin Szke (Homonnai-, -Markovits, -Domjan)",16.0,171.32436260623228,61.75478645066274,HUN,1952,Helsinki,Gold,2,1
234438,"Katalin Szke (Homonnai-, -Markovits, -Domjan)",21.0,171.32436260623228,61.75478645066274,HUN,1956,Melbourne,no medal,2,2
234745,Pilin Tachakittiranan,17.0,174.0,60.0,THA,2000,Sydney,no medal,2,1
235098,Katalin Takcs,22.0,172.0,63.0,HUN,1964,Tokyo,no medal,1,1
235408,Rei Takemura,17.0,171.32436260623228,61.75478645066274,JPN,1936,Berlin,no medal,1,1
236153,Shikha Tandon,19.0,166.0,60.0,IND,2004,Athina,no medal,1,1
236224,Tang Yi,19.0,178.0,70.0,CHN,2012,London,Bronze,3,2
236246,Gaby Tanguy,22.0,171.32436260623228,61.75478645066274,FRA,1952,Helsinki,no medal,1,1
236337,"Iris Vera Tanner (-Murrell, -Curran)",17.0,171.32436260623228,61.75478645066274,GBR,1924,Paris,no medal,2,1
236340,"Iris Vera Tanner (-Murrell, -Curran)",21.0,171.32436260623228,61.75478645066274,GBR,1928,Amsterdam,no medal,2,2
236724,Lynne Tasker,16.0,166.0,60.0,ZIM,1980,Moskva,no medal,1,1
236814,"Jennifer ""Jenny"" Tate (-Beer)",16.0,172.0,56.0,AUS,1976,Montreal,no medal,1,1
237506,Judit Temes (-Tuider),17.0,171.32436260623228,61.75478645066274,HUN,1948,London,no medal,3,1
237508,Judit Temes (-Tuider),21.0,171.32436260623228,61.75478645066274,HUN,1952,Helsinki,Bronze,3,2
237865,"Johanna Maria ""Hannie"" Termeulen",19.0,171.32436260623228,61.75478645066274,NED,1948,London,no medal,2,1
237867,"Johanna Maria ""Hannie"" Termeulen",23.0,171.32436260623228,61.75478645066274,NED,1952,Helsinki,Silver,2,2
237897,Erica Georgine Terpstra,17.0,175.0,70.0,NED,1960,Roma,no medal,2,1
237899,Erica Georgine Terpstra,21.0,175.0,70.0,NED,1964,Tokyo,no medal,2,2
237994,Jovana Terzi,17.0,165.0,54.0,MNE,2016,Rio de Janeiro,no medal,1,1
239119,Margrit Thomet,20.0,170.0,60.0,SUI,1972,Munich,no medal,1,1
239224,"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)",19.0,177.0,69.0,USA,1992,Barcelona,Silver,4,1
239231,"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)",27.0,177.0,69.0,USA,2000,Sydney,Bronze,4,3
239424,Gillian Akiko Thomson,13.0,171.0,58.0,PHI,1988,Seoul,no medal,3,1
239426,Gillian Akiko Thomson,17.0,171.0,58.0,PHI,1992,Barcelona,no medal,3,2
239573,Robyn Jean Thorn (-Risson-Nock),18.0,171.32436260623228,61.75478645066274,AUS,1964,Tokyo,no medal,1,1
239590,Inger Marianne Thorngren (-Hglund),17.0,186.0,85.0,SWE,1960,Roma,no medal,1,1
