,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
20402,Hedda Helene Berntsen,33.0,167.0,62.0,NOR,2010,Vancouver,Freestyle Skiing,Freestyle Skiing Women's Ski Cross,Silver,2,2
20403,Ingrid Kristine Berntsen,23.0,161.0,59.0,NOR,2002,Salt Lake City,Freestyle Skiing,Freestyle Skiing Women's Moguls,no medal,2,1
20404,Ingrid Kristine Berntsen,27.0,161.0,59.0,NOR,2006,Torino,Freestyle Skiing,Freestyle Skiing Women's Moguls,no medal,2,2
20425,Camillia Berra,19.0,161.0,61.0,SUI,2014,Sochi,Freestyle Skiing,Freestyle Skiing Women's Slopestyle,no medal,1,1
20504,Silvia Bertagna,27.0,170.0,50.0,ITA,2014,Sochi,Freestyle Skiing,Freestyle Skiing Women's Slopestyle,no medal,1,1
20517,Stefania Bertel,18.0,163.91747572815535,51.01052631578948,ITA,1976,Innsbruck,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
20570,Sylviane Berthod,24.0,166.0,65.0,SUI,2002,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Downhill,no medal,2,1
20571,Sylviane Berthod,24.0,166.0,65.0,SUI,2002,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Super G,no medal,2,1
20572,Sylviane Berthod,28.0,166.0,65.0,SUI,2006,Torino,Alpine Skiing,Alpine Skiing Women's Downhill,no medal,2,2
20573,Sylviane Berthod,28.0,166.0,65.0,SUI,2006,Torino,Alpine Skiing,Alpine Skiing Women's Super G,no medal,2,2
20643,Stefania Berton,23.0,161.0,46.94009216589862,ITA,2014,Sochi,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
20644,Stefania Berton,23.0,161.0,49.333333333333336,ITA,2014,Sochi,Figure Skating,Figure Skating Mixed Team,no medal,1,1
20668,Frances Louise Bertram (-Hulbig),27.0,156.74261603375527,46.94009216589862,CAN,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
20708,Marion Bertrand,29.0,163.0,58.0,FRA,2014,Sochi,Alpine Skiing,Alpine Skiing Women's Giant Slalom,no medal,1,1
20711,Olivia Bertrand,21.0,158.0,54.0,FRA,2010,Vancouver,Alpine Skiing,Alpine Skiing Women's Giant Slalom,no medal,1,1
20717,Christina Bertrup,25.0,175.0,66.0,SWE,2002,Salt Lake City,Curling,Curling Women's Curling,no medal,2,1
20718,Christina Bertrup,37.0,175.0,66.0,SWE,2014,Sochi,Curling,Curling Women's Curling,Silver,2,2
20782,Anas Bescond,26.0,170.0,67.0,FRA,2014,Sochi,Biathlon,Biathlon Women's 7.5 kilometres Sprint,no medal,1,1
20783,Anas Bescond,26.0,170.0,67.0,FRA,2014,Sochi,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,no medal,1,1
20784,Anas Bescond,26.0,170.0,67.0,FRA,2014,Sochi,Biathlon,Biathlon Women's 10 kilometres Pursuit,no medal,1,1
20785,Anas Bescond,26.0,170.0,67.0,FRA,2014,Sochi,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,no medal,1,1
20786,Anas Bescond,26.0,170.0,67.0,FRA,2014,Sochi,Biathlon,Biathlon Women's 15 kilometres,no medal,1,1
20787,Anas Bescond,26.0,170.0,67.0,FRA,2014,Sochi,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,no medal,1,1
20873,Oljga Bestndigov,22.0,153.0,46.0,SVK,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
20937,"Janice ""Jan"" Betker",37.0,167.0,64.0,CAN,1998,Nagano,Curling,Curling Women's Curling,Gold,1,1
20948,Valentina Bettarini,15.0,170.0,66.0,ITA,2006,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,no medal,1,1
20951,Laura Bettega,24.0,170.0,57.0,ITA,1992,Albertville,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,no medal,1,1
21021,Herlinde Beutlhauser (-Luschan),23.0,167.2341650671785,62.97674418604651,AUT,1960,Squaw Valley,Alpine Skiing,Alpine Skiing Women's Downhill,no medal,1,1
21146,Sandra Marie Bezic,15.0,162.0,54.0,CAN,1972,Sapporo,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
21230,Eveline Bhend,32.0,167.0,60.0,SUI,2014,Sochi,Freestyle Skiing,Freestyle Skiing Women's Slopestyle,no medal,1,1
21371,Franca Ana Bianconi (-Manni),17.0,161.31335149863762,51.11940298507463,ITA,1980,Lake Placid,Figure Skating,Figure Skating Women's Singles,no medal,1,1
21381,Elisabetta Biavaschi,24.0,171.0,63.0,ITA,1998,Nagano,Alpine Skiing,Alpine Skiing Women's Slalom,no medal,1,1
21450,Laurence Bidaud (-Gradwohl),33.0,172.0,62.0,SUI,2002,Salt Lake City,Curling,Curling Women's Curling,Silver,1,1
21468,Jane Bidstrup,42.0,171.0,72.0,DEN,1998,Nagano,Curling,Curling Women's Curling,Silver,1,1
21469,Lene Bidstrup (-Nyboe),35.0,172.0,68.0,DEN,2002,Salt Lake City,Curling,Curling Women's Curling,no medal,1,1
21476,"Heidi Biebl (-Schmid, -Prelevi)",19.0,159.0,56.0,GER,1960,Squaw Valley,Alpine Skiing,Alpine Skiing Women's Downhill,Gold,2,1
21477,"Heidi Biebl (-Schmid, -Prelevi)",19.0,159.0,56.0,GER,1960,Squaw Valley,Alpine Skiing,Alpine Skiing Women's Giant Slalom,no medal,2,1
21478,"Heidi Biebl (-Schmid, -Prelevi)",19.0,159.0,56.0,GER,1960,Squaw Valley,Alpine Skiing,Alpine Skiing Women's Slalom,no medal,2,1
21479,"Heidi Biebl (-Schmid, -Prelevi)",22.0,159.0,56.0,GER,1964,Innsbruck,Alpine Skiing,Alpine Skiing Women's Downhill,no medal,2,2
