,Name,Age,Height,Weight,NOC,Year,City,Medal,Times_Participated,Participation_Number
258600,Georges Welbes,20.0,182.0,63.0,LUX,1964,Tokyo,no medal,1,1
258787,Thomas Douglas Welsh,19.0,185.30803571428572,79.37983587338805,GBR,1952,Helsinki,no medal,1,1
258866,"Michael Vincent ""Mike"" Wenden",18.0,184.0,76.0,AUS,1968,Mexico City,Gold,2,1
258871,"Michael Vincent ""Mike"" Wenden",22.0,184.0,76.0,AUS,1972,Munich,no medal,2,2
259039,Abdulwahab Werfeli,21.505691056910567,178.0,71.0,LBA,1980,Moskva,no medal,1,1
259066,Karl Oskar Georg Werner,20.0,185.30803571428572,79.37983587338805,SWE,1924,Paris,no medal,1,1
259102,"Tommy Henrik ""Tom"" Werner",22.0,190.0,74.0,SWE,1988,Seoul,no medal,3,2
259106,"Tommy Henrik ""Tom"" Werner",26.0,190.0,74.0,SWE,1992,Barcelona,no medal,3,3
259675,Horacio Rodolfo White Guesalaga,21.0,185.30803571428572,79.37983587338805,ARG,1948,London,no medal,1,1
259769,Branden Whitehurst,22.0,185.0,81.0,ISV,2012,London,no medal,1,1
259780,Joseph Whiteside,25.0,173.0,79.37983587338805,GBR,1932,Los Angeles,no medal,2,2
260211,Gerhard Wieland,20.0,184.0,80.0,AUT,1964,Tokyo,no medal,1,1
260249,Damian Matthias Armin Wierling,20.0,196.0,74.0,GER,2016,Rio de Janeiro,no medal,1,1
260517,Per Vilhelm Wikstrm,19.0,194.0,87.0,SWE,1980,Moskva,no medal,1,1
260976,Gardner Boyd Williams,18.0,185.30803571428572,79.37983587338805,USA,1896,Athina,no medal,1,1
261022,Kenneth Williams,19.0,185.30803571428572,79.37983587338805,GBR,1956,Melbourne,no medal,1,1
261622,William Wilson,19.0,167.0,67.0,PHI,1984,Los Angeles,no medal,2,2
261727,Malcolm Barrie Windeatt,20.0,185.0,77.0,GBR,1972,Munich,no medal,1,1
261760,"Robert George ""Bob"" Windle",23.0,185.0,77.0,AUS,1968,Mexico City,no medal,2,2
262693,"Man Chiu ""Ronnie"" Wong",16.0,170.0,73.0,HKG,1968,Mexico City,no medal,2,1
262699,"Man Chiu ""Ronnie"" Wong",20.0,170.0,73.0,HKG,1972,Munich,no medal,2,2
262884,Hilton Woods,15.0,193.0,80.0,AHO,1984,Los Angeles,no medal,2,1
262886,Hilton Woods,20.0,193.0,80.0,AHO,1988,Seoul,no medal,2,2
262933,Collier Towning Woolard,15.0,182.0,68.0,ISV,1984,Los Angeles,no medal,1,1
262957,"William Tripp ""Bill"" Woolsey",22.0,183.0,84.0,USA,1956,Melbourne,no medal,2,2
263097,Thierry Wouters,21.0,188.0,76.0,BEL,2000,Sydney,no medal,1,1
263228,Michael Jeremy Wright,22.0,189.0,80.0,HKG,1988,Seoul,no medal,2,1
263232,Michael Jeremy Wright,26.0,189.0,80.0,HKG,1992,Barcelona,no medal,2,2
263319,Wu Chuanyu,19.0,185.30803571428572,79.37983587338805,CHN,1948,London,no medal,2,1
263403,Wu Nien-Pin,17.0,178.0,64.0,TPE,2000,Sydney,no medal,2,1
263406,Wu Nien-Pin,21.0,178.0,64.0,TPE,2004,Athina,no medal,2,2
263556,Hanspeter Wrmli,19.0,186.0,75.0,SUI,1972,Munich,no medal,1,1
263609,Jules Wuyts,26.0,185.30803571428572,79.37983587338805,BEL,1912,Stockholm,no medal,1,1
263820,Xie Jun,23.0,181.0,77.0,CHN,1992,Barcelona,no medal,2,2
264587,Bilall Yamout,21.505691056910567,185.30803571428572,79.37983587338805,LIB,1980,Moskva,no medal,1,1
265317,Aleksey Yegorov,21.0,201.0,92.0,KAZ,1996,Atlanta,no medal,2,1
265379,Yuriy Stanislavovych Yehoshyn,19.0,203.0,90.0,UKR,2004,Athina,no medal,2,1
265383,Yuriy Stanislavovych Yehoshyn,23.0,203.0,90.0,UKR,2008,Beijing,no medal,2,2
265427,Paul Yelle,24.0,185.30803571428572,79.37983587338805,BAR,1988,Seoul,no medal,1,1
265514,"Wi Jin ""Kenneth"" Yeo",18.0,185.30803571428572,79.37983587338805,SGP,1992,Barcelona,no medal,1,1
266263,"John H. Young, Jr.",19.0,185.30803571428572,79.37983587338805,BER,1936,Berlin,no medal,1,1
266363,Dawood Youssef Mohamed Jassim Al-Maaliki,20.0,185.30803571428572,65.0,BRN,2000,Sydney,no medal,1,1
266372,Mohamed Youssef,21.0,184.0,84.0,EGY,1984,Los Angeles,no medal,2,1
266497,Yu Hexin,20.0,194.0,87.0,CHN,2016,Rio de Janeiro,no medal,1,1
266897,Masanori Yusa,21.0,185.30803571428572,79.37983587338805,JPN,1936,Berlin,Silver,2,2
267728,Paulo Zanetti,19.0,184.0,80.0,BRA,1972,Munich,no medal,1,1
268001,Mitja Kolia Zastrow,31.0,204.0,94.0,NED,2008,Beijing,no medal,2,2
268297,Ernst Emil Georg Zeibig,22.0,185.30803571428572,79.37983587338805,FRA,1924,Paris,no medal,2,1
269102,Zhao Lifeng,18.0,184.0,76.0,CHN,1996,Atlanta,no medal,1,1
269782,Bjrn Zikarsky,29.0,208.0,93.0,GER,1996,Atlanta,no medal,2,2
269851,Robert Montague Zimmerman,26.0,185.30803571428572,79.37983587338805,CAN,1908,London,no medal,2,1
269964,Tamer Hamed Ali Zinhom Muhammad,22.0,190.0,80.0,EGY,1996,Atlanta,no medal,2,1
269967,Tamer Hamed Ali Zinhom Muhammad,26.0,190.0,80.0,EGY,2000,Sydney,no medal,2,2
270057,Roger Zirilli,25.0,185.30803571428572,79.37983587338805,SUI,1936,Berlin,no medal,1,1
270211,Gnther Zobernig,20.0,185.30803571428572,79.37983587338805,AUT,1936,Berlin,no medal,1,1
270393,"Zachary ""Zac"" Zorn",21.0,193.0,86.0,USA,1968,Mexico City,no medal,1,1
270399,Victoriano Alberto Zorrilla,18.0,185.30803571428572,79.37983587338805,ARG,1924,Paris,no medal,2,1
270402,Victoriano Alberto Zorrilla,22.0,185.30803571428572,79.37983587338805,ARG,1928,Amsterdam,no medal,2,2
270629,Attila Zubor,21.0,191.0,92.0,HUN,1996,Atlanta,no medal,3,1
270633,Attila Zubor,25.0,191.0,92.0,HUN,2000,Sydney,no medal,3,2
270636,Attila Zubor,29.0,191.0,92.0,HUN,2004,Athina,no medal,3,3
270805,Faelo Ziga,21.505691056910567,185.30803571428572,79.37983587338805,CHI,1928,Amsterdam,no medal,1,1
270998,Federico Zwanck,18.0,185.30803571428572,79.37983587338805,ARG,1952,Helsinki,no medal,1,1
