,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
173670,"Albertina Natalie ""Tina"" Noyes",19.0,160.0,52.0,USA,1968,Grenoble,Figure Skating,Figure Skating Women's Singles,no medal,2,2
174732,Myriam Oberwiler,21.0,159.0,52.0,SUI,1984,Sarajevo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
175744,Bjrg Lhnner ien,23.0,161.31335149863762,51.11940298507463,NOR,1952,Oslo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
175927,Kumiko Okawa (-Sato),17.0,157.0,53.0,JPN,1964,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,2,1
175928,Kumiko Okawa (-Sato),21.0,157.0,53.0,JPN,1968,Grenoble,Figure Skating,Figure Skating Women's Singles,no medal,2,2
177287,Yoshie Onda,19.0,157.0,48.0,JPN,2002,Salt Lake City,Figure Skating,Figure Skating Women's Singles,no medal,1,1
178433,Valda Rosemary Osborn,17.0,161.31335149863762,51.11940298507463,GBR,1952,Oslo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
178637,Kaetlyn Osmond,18.0,163.0,55.0,CAN,2014,Sochi,Figure Skating,Figure Skating Women's Singles,no medal,1,1
178769,Ingrid Ostler,15.0,161.31335149863762,51.11940298507463,AUT,1964,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,1,1
179085,Suzanne Otterson,17.0,157.0,52.0,GBR,1992,Albertville,Figure Skating,Figure Skating Women's Singles,no medal,1,1
179535,"Laurence Rochon ""Laurie"" Owen",15.0,161.31335149863762,51.11940298507463,USA,1960,Squaw Valley,Figure Skating,Figure Skating Women's Singles,no medal,1,1
179922,Carole Jane Pachl (-Lerch),17.0,161.31335149863762,51.11940298507463,CAN,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
181940,Park Bit-Na,16.0,163.0,43.0,KOR,2002,Salt Lake City,Figure Skating,Figure Skating Women's Singles,no medal,1,1
182259,Park So-Yeon,16.0,157.0,51.11940298507463,KOR,2014,Sochi,Figure Skating,Figure Skating Women's Singles,no medal,1,1
183346,Inge Paul,17.0,160.0,50.0,GER,1964,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,1,1
183414,Patricia Ann Pauley,18.0,161.31335149863762,51.11940298507463,GBR,1960,Squaw Valley,Figure Skating,Figure Skating Women's Singles,no medal,1,1
183539,Katrien Pauwels,18.0,165.0,47.0,BEL,1984,Sarajevo,Figure Skating,Figure Skating Women's Singles,no medal,2,1
183540,Katrien Pauwels,22.0,165.0,47.0,BEL,1988,Calgary,Figure Skating,Figure Skating Women's Singles,no medal,2,2
183767,Viktria Pavuk,20.0,168.0,53.0,HUN,2006,Torino,Figure Skating,Figure Skating Women's Singles,no medal,1,1
183782,Eva Pawlik (-Seeliger),20.0,161.31335149863762,51.11940298507463,AUT,1948,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,Silver,1,1
184007,"Dianne Carol Rosemary ""Beth"" Peach",16.0,161.31335149863762,51.11940298507463,GBR,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
185085,Sofiya Penkova,19.0,164.0,51.0,BUL,1998,Nagano,Figure Skating,Figure Skating Women's Singles,no medal,1,1
185218,Audrey Francis Peppe (-Benner),18.0,161.31335149863762,51.11940298507463,USA,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Women's Singles,no medal,1,1
186253,Eva Hlne Linna Persson,25.0,162.0,53.0,SWE,1992,Albertville,Figure Skating,Figure Skating Women's Singles,no medal,1,1
187584,"Rosel ""Rose"" Pettinger",22.0,161.31335149863762,51.11940298507463,GER,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
187862,Cynthia Phaneuf,22.0,170.0,58.0,CAN,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,no medal,1,1
188092,Mollie Doreen Phillips,24.0,160.0,51.11940298507463,GBR,1932,Lake Placid,Figure Skating,Figure Skating Women's Singles,no medal,2,1
188093,Mollie Doreen Phillips,28.0,160.0,51.11940298507463,GBR,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Women's Singles,no medal,2,2
188480,Isabelle Pieman,26.0,172.0,58.0,BEL,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,no medal,1,1
188611,"Irja Ester Helena ""Leena"" Pietil (-Vainio)",26.0,165.0,55.0,FIN,1952,Oslo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
189834,"Herma Planck-Szabo (-Jarosz, -Stark)",21.0,161.31335149863762,51.11940298507463,AUT,1924,Chamonix,Figure Skating,Figure Skating Women's Singles,Gold,1,1
191607,Nataliya Ihorivna Popova,20.0,168.0,52.0,UKR,2014,Sochi,Figure Skating,Figure Skating Women's Singles,no medal,1,1
192001,Teodora Poti,25.0,165.0,54.0,SLO,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,no medal,1,1
