,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
202006,Paul Robinson,18.0,175.0,65.0,GBR,1984,Sarajevo,Figure Skating,Figure Skating Men's Singles,no medal,2,1
202007,Paul Robinson,22.0,175.0,65.0,GBR,1988,Calgary,Figure Skating,Figure Skating Men's Singles,no medal,2,2
203024,Melville Falkner Rogers,25.0,183.0,65.59163987138264,CAN,1924,Chamonix,Figure Skating,Figure Skating Men's Singles,no medal,1,1
203618,Viktor Romanenkov,20.0,181.0,63.0,EST,2014,Sochi,Figure Skating,Figure Skating Men's Singles,no medal,1,1
206977,Sergey Rylov,26.0,171.0,65.59163987138264,AZE,2002,Salt Lake City,Figure Skating,Figure Skating Men's Singles,no medal,1,1
209800,Emanuel Sandhu,25.0,183.0,65.59163987138264,CAN,2006,Torino,Figure Skating,Figure Skating Men's Singles,no medal,1,1
210146,Minoru Sano,20.0,168.0,62.0,JPN,1976,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,1,1
210238,David Neil Santee,18.0,173.39762611275964,65.59163987138264,USA,1976,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,2,1
210239,David Neil Santee,22.0,173.39762611275964,65.59163987138264,USA,1980,Lake Placid,Figure Skating,Figure Skating Men's Singles,no medal,2,2
211116,Nobuo Sato,18.0,162.0,54.0,JPN,1960,Squaw Valley,Figure Skating,Figure Skating Men's Singles,no medal,2,1
211117,Nobuo Sato,22.0,162.0,54.0,JPN,1964,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,2,2
211662,"Matthew ""Matt"" Savoie",25.0,175.0,68.0,USA,2006,Torino,Figure Skating,Figure Skating Men's Singles,no medal,1,1
211812,Shawn Sawyer,21.0,165.0,65.59163987138264,CAN,2006,Torino,Figure Skating,Figure Skating Men's Singles,no medal,1,1
212233,Karl Martin Alois Schfer,18.0,180.0,65.59163987138264,AUT,1928,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,no medal,3,1
212235,Karl Martin Alois Schfer,22.0,180.0,65.59163987138264,AUT,1932,Lake Placid,Figure Skating,Figure Skating Men's Singles,Gold,3,2
212236,Karl Martin Alois Schfer,26.0,180.0,65.59163987138264,AUT,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Men's Singles,Gold,3,3
213431,Patrick Schmit,23.0,168.0,57.0,LUX,1998,Nagano,Figure Skating,Figure Skating Men's Singles,no medal,1,1
213693,Manfred Schnelldorfer,16.0,185.0,80.0,GER,1960,Squaw Valley,Figure Skating,Figure Skating Men's Singles,no medal,2,1
213694,Manfred Schnelldorfer,20.0,185.0,80.0,GER,1964,Innsbruck,Figure Skating,Figure Skating Men's Singles,Gold,2,2
213735,"Wilhelm ""Billy"" Schober",19.0,173.39762611275964,65.59163987138264,AUS,1976,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,1,1
213934,Sepp Schnmetzler,19.0,173.0,64.0,GER,1964,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,1,1
214434,Adrian Alexander Konstantin Schultheiss,21.0,172.0,64.0,SWE,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,no medal,1,1
214872,Wolfgang Schwarz,16.0,178.0,70.0,AUT,1964,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,2,1
214873,Wolfgang Schwarz,20.0,178.0,70.0,AUT,1968,Grenoble,Figure Skating,Figure Skating Men's Singles,Gold,2,2
215715,Helmut Seibt,18.0,173.39762611275964,65.59163987138264,AUT,1948,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,no medal,2,1
215717,Helmut Seibt,22.0,173.39762611275964,65.59163987138264,AUT,1952,Oslo,Figure Skating,Figure Skating Men's Singles,Silver,2,2
217638,Henry Graham Sharp,18.0,173.39762611275964,65.59163987138264,GBR,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Men's Singles,no medal,2,1
217639,Henry Graham Sharp,30.0,173.39762611275964,65.59163987138264,GBR,1948,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,no medal,2,2
217723,"Ronald ""Ron"" Shaver",24.0,173.39762611275964,65.59163987138264,CAN,1976,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,1,1
218014,"Kenneth Gene ""Ken"" Shelley",20.0,170.0,59.0,USA,1972,Sapporo,Figure Skating,Figure Skating Men's Singles,no medal,2,2
218909,Michael Shmerkin,24.0,167.0,60.0,ISR,1994,Lillehammer,Figure Skating,Figure Skating Men's Singles,no medal,2,1
218910,Michael Shmerkin,28.0,167.0,60.0,ISR,1998,Nagano,Figure Skating,Figure Skating Men's Singles,no medal,2,2
220632,Jean-Christophe Simond,15.0,175.0,65.0,FRA,1976,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,3,1
220633,Jean-Christophe Simond,19.0,175.0,65.0,FRA,1980,Lake Placid,Figure Skating,Figure Skating Men's Singles,no medal,3,2
220634,Jean-Christophe Simond,23.0,175.0,65.0,FRA,1984,Sarajevo,Figure Skating,Figure Skating Men's Singles,no medal,3,3
